,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
CONSUMERS ENERGY COMPANY,Electric,Fixed Income,"527,584.04",0.02,"527,584.04","465,000.00",210518DH6,US210518DH65,-,112.0,United States,-,USD,18.56,2.89,1.0,"Aug 01, 2051",3.5,18.79,-,2.89,18.6,2.89,USD,"Mar 26, 2020","Mar 26, 2020"
COMMONWEALTH EDISON COMPANY,Electric,Fixed Income,"527,166.82",0.02,"527,166.82","433,000.00",202795JG6,US202795JG61,BD60YY6,121.19,United States,-,USD,15.44,3.09,1.0,"Nov 15, 2045",4.35,15.64,-,3.07,15.44,3.07,USD,"Nov 19, 2015","Nov 19, 2015"
SOUTHWEST GAS CORP,Natural Gas,Fixed Income,"526,915.92",0.02,"526,915.92","463,000.00",845011AB1,US845011AB10,BK1WL23,113.46,United States,-,USD,16.8,3.39,1.0,"Jun 01, 2049",4.15,16.99,-,3.38,16.81,3.38,USD,"May 31, 2019","May 31, 2019"
ARTHUR J GALLAGHER & CO,Insurance,Fixed Income,"526,807.63",0.02,"526,807.63","497,000.00",363576AB5,US363576AB52,-,105.6,United States,-,USD,18.34,3.2,1.0,"May 20, 2051",3.5,18.53,-,3.2,18.35,3.2,USD,"May 20, 2021","May 20, 2021"
DUKE ENERGY PROGRESS LLC,Electric,Fixed Income,"526,499.76",0.02,"526,499.76","451,000.00",144141DD7,US144141DD73,B8L5GP6,115.53,United States,-,USD,14.34,3.1,1.0,"Mar 15, 2043",4.1,14.52,-,3.08,14.29,3.08,USD,"Mar 12, 2013","Mar 12, 2013"
CARDINAL HEALTH INC,Consumer Non-Cyclical,Fixed Income,"526,048.92",0.02,"526,048.92","466,000.00",14149YBM9,US14149YBM93,BZ4DMG9,112.69,United States,-,USD,15.74,3.6,1.0,"Jun 15, 2047",4.37,15.91,-,3.59,15.72,3.59,USD,"Jun 12, 2017","Jun 12, 2017"
ENBRIDGE INC,Energy,Fixed Income,"525,872.41",0.02,"525,872.41","467,000.00",29250NBA2,US29250NBA28,-,112.1,Canada,-,USD,17.13,3.33,1.0,"Nov 15, 2049",4.0,17.32,-,3.32,17.14,3.32,USD,"Nov 15, 2019","Nov 15, 2019"
SOUTHERN COPPER CORP,Basic Industry,Fixed Income,"525,588.85",0.02,"525,588.85","415,000.00",84265VAG0,US84265VAG05,B8ZRND5,125.88,Mexico,-,USD,13.49,3.49,1.0,"Nov 08, 2042",5.25,13.52,-,3.49,13.52,3.49,USD,"Nov 08, 2012","Nov 08, 2012"
NORTHERN NATURAL GAS COMPANY 144A,Energy,Fixed Income,"525,509.17",0.02,"525,509.17","442,000.00",665501AL6,US665501AL66,BF4P3Q2,116.91,United States,-,USD,16.35,3.34,1.0,"Jan 15, 2049",4.3,16.54,-,3.33,16.36,3.33,USD,"Jul 17, 2018","Jul 17, 2018"
SAUDI ELECTRICITY GLOBAL SUKUK CO 144A,Owned No Guarantee,Fixed Income,"525,417.11",0.02,"525,417.11","425,000.00",804133AB2,US804133AB28,B9MV4B2,122.47,Saudi Arabia,-,USD,13.68,3.55,1.0,"Apr 08, 2043",5.06,13.72,-,3.55,13.72,3.55,USD,"Apr 08, 2013","Apr 08, 2013"
WELLS FARGO & COMPANY,Banking,Fixed Income,"524,762.24",0.02,"524,762.24","395,000.00",949746JM4,US949746JM44,B065T23,130.7,United States,-,USD,9.78,2.6,1.0,"Feb 07, 2035",5.38,9.78,-,2.6,9.78,2.6,USD,"Feb 07, 2005","Feb 07, 2005"
INTEL CORPORATION,Technology,Fixed Income,"524,803.77",0.02,"524,803.77","430,000.00",458140AP5,US458140AP51,B93P3K5,121.86,United States,-,USD,14.5,2.86,1.0,"Dec 15, 2042",4.25,14.57,-,2.86,14.57,2.86,USD,"Dec 11, 2012","Dec 11, 2012"
HCP INC,Reits,Fixed Income,"524,549.73",0.02,"524,549.73","345,000.00",40414LAE9,US40414LAE92,B453WJ4,149.23,United States,-,USD,11.9,3.26,1.0,"Feb 01, 2041",6.75,12.1,-,3.21,11.9,3.21,USD,"Jan 24, 2011","Jan 24, 2011"
KANSAS CITY SOUTHERN,Transportation,Fixed Income,"524,504.16",0.02,"524,504.16","407,000.00",485170AS3,US485170AS39,BY7RQX6,127.0,United States,-,USD,14.65,3.3,1.0,"Aug 15, 2045",4.95,14.84,-,3.28,14.65,3.28,USD,"Feb 15, 2016","Jul 25, 2016"
SOUTHERN CALIFORNIA EDISON COMPANY,Electric,Fixed Income,"524,497.75",0.02,"524,497.75","424,000.00",842400GR8,US842400GR87,BJMTK74,122.08,United States,-,USD,15.81,3.59,1.0,"Mar 01, 2049",4.88,15.99,-,3.58,15.83,3.58,USD,"Mar 15, 2019","Mar 15, 2019"
PIEDMONT HEALTHCARE INC,Consumer Non-Cyclical,Fixed Income,"524,400.52",0.02,"524,400.52","533,000.00",72014TAE9,US72014TAE91,-,97.54,United States,-,USD,19.52,2.99,1.0,"Jan 01, 2052",2.86,19.72,-,2.99,19.72,2.99,USD,"Sep 15, 2021","Sep 15, 2021"
CORPORATE OFFICE PROPERTIES LP,Reits,Fixed Income,"524,425.96",0.02,"524,425.96","535,000.00",22003BAP1,US22003BAP13,-,97.67,United States,-,USD,9.94,3.14,1.0,"Dec 01, 2033",2.9,9.94,-,3.14,9.94,3.14,USD,"Nov 17, 2021","Nov 17, 2021"
NORTHERN STATES POWER COMPANY (MIN,Electric,Fixed Income,"524,140.54",0.02,"524,140.54","491,000.00",665772CU1,US665772CU16,-,105.95,United States,-,USD,19.28,2.9,1.0,"Apr 01, 2052",3.2,19.5,-,2.9,19.3,2.9,USD,"Mar 30, 2021","Mar 30, 2021"
ALABAMA POWER COMPANY,Electric,Fixed Income,"523,512.66",0.02,"523,512.66","442,000.00",010392FL7,US010392FL70,BQ5C541,116.87,United States,-,USD,14.9,3.11,1.0,"Aug 15, 2044",4.15,15.09,-,3.09,14.87,3.09,USD,"Aug 26, 2014","Aug 26, 2014"
ZOETIS INC,Consumer Non-Cyclical,Fixed Income,"523,050.13",0.02,"523,050.13","441,000.00",98978VAM5,US98978VAM54,BF58HB3,117.41,United States,-,USD,16.52,2.98,1.0,"Sep 12, 2047",3.95,16.73,-,2.96,16.53,2.96,USD,"Sep 12, 2017","Sep 12, 2017"
PACIFICORP,Electric,Fixed Income,"523,009.83",0.02,"523,009.83","500,000.00",695114CX4,US695114CX41,-,103.63,United States,-,USD,18.49,3.11,1.0,"Mar 15, 2051",3.3,18.69,-,3.11,18.5,3.11,USD,"Apr 08, 2020","Apr 08, 2020"
DUKE ENERGY PROGRESS LLC,Electric,Fixed Income,"522,857.14",0.02,"522,857.14","470,000.00",26442UAE4,US26442UAE47,BF58H68,110.19,United States,-,USD,16.82,3.03,1.0,"Sep 15, 2047",3.6,17.01,-,3.02,16.8,3.02,USD,"Sep 08, 2017","Sep 08, 2017"
EVEREST REINSURANCE HOLDINGS INC,Insurance,Fixed Income,"522,911.02",0.02,"522,911.02","495,000.00",299808AH8,US299808AH86,-,104.9,United States,-,USD,18.02,3.24,1.0,"Oct 15, 2050",3.5,18.21,-,3.23,18.02,3.23,USD,"Oct 07, 2020","Oct 07, 2020"
NORFOLK SOUTHERN CORPORATION,Transportation,Fixed Income,"522,639.39",0.02,"522,639.39","526,000.00",655844CL0,US655844CL04,BMDVVC2,98.35,United States,-,USD,19.3,2.98,1.0,"Aug 25, 2051",2.9,19.5,-,2.98,19.5,2.98,USD,"Aug 25, 2021","Aug 25, 2021"
CENOVUS ENERGY INC,Energy,Fixed Income,"522,048.29",0.02,"522,048.29","515,000.00",15135UAX7,US15135UAX72,BNTFNT6,100.24,Canada,-,USD,17.62,3.74,1.0,"Feb 15, 2052",3.75,17.78,-,3.74,17.61,3.74,USD,"Sep 13, 2021","Sep 13, 2021"
HORMEL FOODS CORPORATION,Consumer Non-Cyclical,Fixed Income,"521,561.99",0.02,"521,561.99","490,000.00",440452AJ9,US440452AJ91,-,106.2,United States,-,USD,19.41,2.74,1.0,"Jun 03, 2051",3.05,19.64,-,2.74,19.42,2.74,USD,"Jun 03, 2021","Jun 03, 2021"
MISSISSIPPI POWER CO,Electric,Fixed Income,"521,220.55",0.02,"521,220.55","450,000.00",605417BZ6,US605417BZ68,B783QQ7,114.58,United States,-,USD,13.82,3.26,1.0,"Mar 15, 2042",4.25,13.85,-,3.26,13.85,3.26,USD,"Mar 09, 2012","Mar 09, 2012"
AGL CAPITAL CORPORATION,Natural Gas,Fixed Income,"521,138.00",0.02,"521,138.00","400,000.00",001192AD5,US001192AD50,B030772,128.78,United States,-,USD,9.35,3.23,1.0,"Oct 01, 2034",6.0,9.32,-,3.23,9.32,3.23,USD,"Sep 27, 2004","Sep 27, 2004"
SONOCO PRODUCTS COMPANY,Capital Goods,Fixed Income,"521,103.79",0.02,"521,103.79","385,000.00",835495AJ1,US835495AJ18,B3PM3X5,134.39,United States,-,USD,12.31,3.29,1.0,"Nov 01, 2040",5.75,12.49,-,3.25,12.28,3.25,USD,"Nov 01, 2010","Nov 01, 2010"
ATHENE HOLDING LTD,Insurance,Fixed Income,"520,750.94",0.02,"520,750.94","481,000.00",04686JAD3,US04686JAD37,-,107.88,United States,-,USD,17.55,3.52,1.0,"May 25, 2051",3.95,17.73,-,3.51,17.56,3.51,USD,"May 25, 2021","May 25, 2021"
COX COMMUNICATIONS INC 144A,Communications,Fixed Income,"520,559.28",0.02,"520,559.28","435,000.00",224044CF2,US224044CF21,BTKHKS1,117.67,United States,-,USD,9.7,3.14,1.0,"Feb 01, 2035",4.8,9.83,-,3.09,9.55,3.09,USD,"Dec 08, 2014","Dec 08, 2014"
Stanford University,Industrial Other,Fixed Income,"520,085.72",0.02,"520,085.72","535,000.00",85440KAD6,US85440KAD63,-,97.01,United States,-,USD,20.07,2.56,1.0,"Jun 01, 2050",2.41,20.29,-,2.56,20.29,2.56,USD,"Jun 04, 2020","Jun 04, 2020"
CROWN CASTLE INTERNATIONAL CORP,Communications,Fixed Income,"519,757.93",0.02,"519,757.93","399,000.00",22822VAM3,US22822VAM37,BGQPXM3,128.3,United States,-,USD,15.59,3.56,1.0,"Feb 15, 2049",5.2,15.77,-,3.55,15.61,3.55,USD,"Feb 11, 2019","Feb 11, 2019"
J M SMUCKER CO,Consumer Non-Cyclical,Fixed Income,"519,057.09",0.02,"519,057.09","475,000.00",832696AT5,US832696AT51,-,108.23,United States,-,USD,17.82,3.11,1.0,"Mar 15, 2050",3.55,18.02,-,3.1,17.82,3.1,USD,"Mar 09, 2020","Mar 09, 2020"
PACIFICORP,Electric,Fixed Income,"518,731.20",0.02,"518,731.20","390,000.00",695114CD8,US695114CD86,B1V72T9,131.57,United States,-,USD,10.76,3.13,1.0,"Apr 01, 2037",5.75,10.76,-,3.13,10.76,3.13,USD,"Mar 14, 2007","Mar 14, 2007"
AETNA INC,Insurance,Fixed Income,"518,919.58",0.02,"518,919.58","437,000.00",00817YAJ7,US00817YAJ73,B87F9L7,118.17,United States,-,USD,13.69,3.27,1.0,"May 15, 2042",4.5,13.86,-,3.25,13.63,3.25,USD,"May 04, 2012","May 04, 2012"
COX COMMUNICATIONS INC 144A,Communications,Fixed Income,"518,495.52",0.02,"518,495.52","446,000.00",224044CC9,US224044CC99,B8J94N4,116.25,United States,-,USD,14.18,3.43,1.0,"Jun 30, 2043",4.5,14.35,-,3.41,14.13,3.41,USD,"May 01, 2013","May 01, 2013"
T-MOBILE USA INC,Communications,Fixed Income,"517,464.48",0.02,"517,464.48","520,000.00",87264ABY0,US87264ABY01,-,99.05,United States,-,USD,20.44,3.64,1.0,"Nov 15, 2060",3.6,20.66,-,3.64,20.66,3.64,USD,"May 15, 2021","May 21, 2021"
CALIFORNIA INST OF TECHNOLOGY,Industrial Other,Fixed Income,"517,272.65",0.02,"517,272.65","440,000.00",13034VAD6,US13034VAD64,-,116.35,United States,-,USD,29.28,3.11,1.0,"Sep 01, 2119",3.65,29.75,-,3.11,29.73,3.11,USD,"Nov 25, 2019","Nov 25, 2019"
ALABAMA POWER COMPANY,Electric,Fixed Income,"516,923.54",0.02,"516,923.54","367,000.00",010392FB9,US010392FB98,B4QV918,138.85,United States,-,USD,11.59,3.07,1.0,"Mar 01, 2039",6.0,11.62,-,3.07,11.62,3.07,USD,"Mar 06, 2009","Mar 06, 2009"
UNITED PARCEL SERVICE INC,Transportation,Fixed Income,"516,719.98",0.02,"516,719.98","445,000.00",911312AR7,US911312AR75,B6Y3NC9,115.21,United States,-,USD,14.84,2.67,1.0,"Oct 01, 2042",3.63,14.91,-,2.67,14.91,2.67,USD,"Sep 27, 2012","Sep 27, 2012"
PUGET SOUND ENERGY INC,Electric,Fixed Income,"516,361.97",0.02,"516,361.97","411,000.00",745332BU9,US745332BU93,B09G0Z3,125.18,United States,-,USD,9.95,3.16,1.0,"Jun 01, 2035",5.48,9.93,-,3.16,9.93,3.16,USD,"May 27, 2005","May 27, 2005"
TYSON FOODS INC,Consumer Non-Cyclical,Fixed Income,"516,316.15",0.02,"516,316.15","393,000.00",902494AY9,US902494AY91,BQ0Q9V3,129.43,United States,-,USD,14.13,3.29,1.0,"Aug 15, 2044",5.15,14.32,-,3.27,14.12,3.27,USD,"Aug 08, 2014","Aug 08, 2014"
NORTHERN STATES POWER COMPANY (MIN,Electric,Fixed Income,"515,880.31",0.02,"515,880.31","361,000.00",665772CB3,US665772CB35,B15F084,142.38,United States,-,USD,10.35,2.68,1.0,"Jun 01, 2036",6.25,10.37,-,2.68,10.37,2.68,USD,"May 25, 2006","May 25, 2006"
LUBRIZOL CORPORATION (THE),Basic Industry,Fixed Income,"515,669.45",0.02,"515,669.45","355,000.00",549271AF1,US549271AF19,B03QTN0,143.63,United States,-,USD,9.35,2.49,1.0,"Oct 01, 2034",6.5,9.35,-,2.49,9.35,2.49,USD,"Sep 28, 2004","Sep 28, 2004"
PUBLIC SERVICE ELECTRIC AND GAS CO MTN,Electric,Fixed Income,"515,482.52",0.02,"515,482.52","444,000.00",74456QBQ8,US74456QBQ82,BYYD0H9,114.83,United States,-,USD,16.0,2.94,1.0,"Mar 01, 2046",3.8,16.21,-,2.93,15.99,2.93,USD,"Mar 03, 2016","Mar 03, 2016"
KANSAS CITY SOUTHERN,Transportation,Fixed Income,"515,550.36",0.02,"515,550.36","441,000.00",485170AQ7,US485170AQ72,BD1RHS7,116.36,United States,-,USD,14.29,3.23,1.0,"May 15, 2043",4.3,14.47,-,3.22,14.24,3.22,USD,"May 15, 2016","Jul 25, 2016"
WESLEYAN UNIVERSITY,Industrial Other,Fixed Income,"515,420.00",0.02,"515,420.00","356,000.00",95101VAA7,US95101VAA70,BYYH7Z8,142.39,United States,-,USD,27.07,3.31,1.0,"Jul 01, 2116",4.78,27.49,-,3.31,27.49,3.31,USD,"May 31, 2016","May 31, 2016"
BOEING CO,Capital Goods,Fixed Income,"515,206.95",0.02,"515,206.95","502,000.00",097023CE3,US097023CE35,BGT6HH6,101.46,United States,-,USD,12.62,3.39,1.0,"Mar 01, 2039",3.5,12.72,-,3.38,12.45,3.38,USD,"Feb 15, 2019","Feb 15, 2019"
PUBLIC SERVICE COMPANY OF COLORADO,Electric,Fixed Income,"515,100.11",0.02,"515,100.11","530,000.00",744448CU3,US744448CU39,BMWRF74,95.94,United States,-,USD,19.17,2.91,1.0,"Jan 15, 2051",2.7,19.56,-,2.91,19.56,2.91,USD,"May 15, 2020","May 15, 2020"
TRANSCANADA PIPELINES LIMITED,Energy,Fixed Income,"514,878.00",0.02,"514,878.00","390,000.00",89352HAB5,US89352HAB50,B11K5C2,130.3,Canada,-,USD,10.16,3.18,1.0,"Mar 15, 2036",5.85,10.15,-,3.18,10.15,3.18,USD,"Mar 20, 2006","Mar 20, 2006"
ENDURANCE SPECIALTY HOLDINGS LTD,Insurance,Fixed Income,"514,257.20",0.02,"514,257.20","370,000.00",29267HAA7,US29267HAA77,B01W510,135.78,United States,-,USD,8.84,3.46,1.0,"Jul 15, 2034",7.0,8.81,-,3.46,8.81,3.46,USD,"Jul 15, 2004","Jul 15, 2004"
KIMCO REALTY CORPORATION,Reits,Fixed Income,"514,225.09",0.02,"514,225.09","445,000.00",49446RAM1,US49446RAM16,BWGCKR0,114.49,United States,-,USD,15.02,3.35,1.0,"Apr 01, 2045",4.25,15.19,-,3.34,14.98,3.34,USD,"Mar 30, 2015","Mar 30, 2015"
COX COMMUNICATIONS INC 144A,Communications,Fixed Income,"513,635.82",0.02,"513,635.82","426,000.00",224044BY2,US224044BY29,B8YWZN5,120.36,United States,-,USD,13.97,3.34,1.0,"Dec 15, 2042",4.7,14.01,-,3.34,14.01,3.34,USD,"Nov 29, 2012","Nov 29, 2012"
HEINEKEN NV 144A,Consumer Non-Cyclical,Fixed Income,"513,620.87",0.02,"513,620.87","410,000.00",423012AG8,US423012AG85,BF16R11,124.17,Netherlands,-,USD,16.02,2.98,1.0,"Mar 29, 2047",4.35,16.25,-,2.96,16.05,2.96,USD,"Mar 29, 2017","Mar 29, 2017"
BROOKLYN UNION GAS CO 144A,Natural Gas,Fixed Income,"513,048.04",0.02,"513,048.04","444,000.00",114259AQ7,US114259AQ72,BDF0DJ5,114.29,United States,-,USD,16.08,3.44,1.0,"Mar 15, 2048",4.27,16.26,-,3.43,16.07,3.43,USD,"Mar 14, 2018","Mar 14, 2018"
KEYSPAN GAS EAST CORPORATION 144A,Natural Gas,Fixed Income,"512,671.20",0.02,"512,671.20","385,000.00",49338CAA1,US49338CAA18,B5NKKP6,131.71,United States,-,USD,12.46,3.53,1.0,"Apr 01, 2041",5.82,12.48,-,3.53,12.48,3.53,USD,"Mar 31, 2011","Mar 31, 2011"
LOWES COMPANIES INC,Consumer Cyclical,Fixed Income,"512,536.69",0.02,"512,536.69","424,000.00",548661DJ3,US548661DJ38,BYMYN08,119.59,United States,-,USD,15.19,3.19,1.0,"Sep 15, 2045",4.38,15.38,-,3.18,15.18,3.18,USD,"Sep 16, 2015","Sep 16, 2015"
EMPRESA DE TRANSPORTE DE PASAJEROS 144A,Owned No Guarantee,Fixed Income,"512,580.00",0.02,"512,580.00","432,000.00",29246QAB1,US29246QAB14,BYX8967,116.5,Chile,-,USD,14.65,3.96,1.0,"Jan 25, 2047",5.0,14.79,-,3.94,14.63,3.94,USD,"Jan 25, 2017","Jan 25, 2017"
MITSUBISHI UFJ FINANCIAL GROUP INC,Banking,Fixed Income,"512,539.13",0.02,"512,539.13","421,000.00",606822BB9,US606822BB97,BFLT7D2,119.9,Japan,-,USD,12.1,2.78,1.0,"Jul 26, 2038",4.29,12.12,-,2.78,12.12,2.78,USD,"Jul 26, 2018","Jul 26, 2018"
KAISER FOUNDATION HOSPITALS,Consumer Non-Cyclical,Fixed Income,"511,949.38",0.02,"511,949.38","384,000.00",48305QAB9,US48305QAB95,B7XL9F6,132.1,United States,-,USD,13.72,2.79,1.0,"Apr 01, 2042",4.88,13.79,-,2.79,13.79,2.79,USD,"Apr 11, 2012","Apr 11, 2012"
WALT DISNEY COMPANY (THE),Communications,Fixed Income,"511,938.83",0.02,"511,938.83","357,000.00",25468PBW5,US25468PBW59,2854216,141.07,United States,-,USD,7.72,2.42,1.0,"Mar 01, 2032",7.0,7.7,-,2.42,7.7,2.42,USD,"Feb 28, 2002","Feb 28, 2002"
APPALACHIAN POWER CO,Electric,Fixed Income,"511,903.81",0.02,"511,903.81","395,000.00",037735CE5,US037735CE55,B0LL614,128.15,United States,-,USD,9.94,3.25,1.0,"Oct 01, 2035",5.8,9.92,-,3.25,9.92,3.25,USD,"Sep 29, 2005","Sep 29, 2005"
SABAL TRAIL TRANSMISSION LLC 144A,Energy,Fixed Income,"511,940.69",0.02,"511,940.69","425,000.00",78516FAB5,US78516FAB58,BD0RRY4,119.68,United States,-,USD,11.64,3.13,1.0,"May 01, 2038",4.68,11.79,-,3.1,11.54,3.1,USD,"Apr 30, 2018","Apr 30, 2018"
KROGER CO (THE),Consumer Non-Cyclical,Fixed Income,"511,461.08",0.02,"511,461.08","385,000.00",501044CT6,US501044CT67,BCF0W80,130.7,United States,-,USD,13.74,3.17,1.0,"Aug 01, 2043",5.15,13.93,-,3.15,13.73,3.15,USD,"Jul 25, 2013","Jul 25, 2013"
UNITEDHEALTH GROUP INC,Insurance,Fixed Income,"510,950.88",0.02,"510,950.88","415,000.00",91324PBW1,US91324PBW14,B7CL656,121.83,United States,-,USD,13.76,2.93,1.0,"Mar 15, 2042",4.38,13.95,-,2.91,13.72,2.91,USD,"Mar 08, 2012","Mar 08, 2012"
J M SMUCKER CO,Consumer Non-Cyclical,Fixed Income,"510,842.68",0.02,"510,842.68","419,000.00",832696AP3,US832696AP30,BYXK0V5,120.63,United States,-,USD,15.15,3.12,1.0,"Mar 15, 2045",4.38,15.22,-,3.12,15.22,3.12,USD,"Sep 15, 2015","Sep 22, 2015"
VIRGINIA ELECTRIC AND POWER COMPAN,Electric,Fixed Income,"510,810.79",0.02,"510,810.79","439,000.00",927804FW9,US927804FW90,BZ12593,115.85,United States,-,USD,16.14,3.08,1.0,"Nov 15, 2046",4.0,16.35,-,3.07,16.14,3.07,USD,"Nov 16, 2016","Nov 16, 2016"
CONSTELLATION BRANDS INC,Consumer Non-Cyclical,Fixed Income,"510,799.71",0.02,"510,799.71","465,000.00",21036PBG2,US21036PBG28,-,109.22,United States,-,USD,17.6,3.25,1.0,"May 01, 2050",3.75,17.79,-,3.24,17.61,3.24,USD,"Apr 27, 2020","Apr 27, 2020"
BIMBO BAKERIES USA INC 144A,Consumer Non-Cyclical,Fixed Income,"510,903.06",0.02,"510,903.06","470,000.00",09031WAA1,US09031WAA18,-,108.22,Mexico,-,USD,17.45,3.55,1.0,"May 17, 2051",4.0,17.63,-,3.54,17.46,3.54,USD,"May 17, 2021","May 17, 2021"
CUMMINS INC,Consumer Cyclical,Fixed Income,"510,537.43",0.02,"510,537.43","549,000.00",231021AS5,US231021AS53,-,92.13,United States,-,USD,19.32,3.01,1.0,"Sep 01, 2050",2.6,19.5,-,3.01,19.5,3.01,USD,"Aug 24, 2020","Aug 24, 2020"
TESCO PLC 144A,Consumer Non-Cyclical,Fixed Income,"509,620.15",0.02,"509,620.15","390,000.00",881575AC8,US881575AC87,B28YDQ4,129.89,United Kingdom,-,USD,10.84,3.65,1.0,"Nov 15, 2037",6.15,10.83,-,3.65,10.83,3.65,USD,"Nov 05, 2007","Nov 05, 2007"
SOUTHERN CALIFORNIA GAS COMPANY,Natural Gas,Fixed Income,"509,224.13",0.02,"509,224.13","404,000.00",842434CS9,US842434CS98,BGHHQ74,124.06,United States,-,USD,16.66,3.0,1.0,"Jan 15, 2049",4.3,16.89,-,2.98,16.7,2.98,USD,"Sep 24, 2018","Sep 24, 2018"
NISOURCE INC,Natural Gas,Fixed Income,"508,983.23",0.02,"508,983.23","371,000.00",65473QAX1,US65473QAX16,B3N5358,136.93,United States,-,USD,12.54,3.35,1.0,"Jun 15, 2041",5.95,12.72,-,3.31,12.52,3.31,USD,"Jun 10, 2011","Jun 10, 2011"
ONCOR ELECTRIC DELIVERY CO LLC,Electric,Fixed Income,"509,181.63",0.02,"509,181.63","380,000.00",68233JAS3,US68233JAS33,B7ZBFD4,133.55,United States,-,USD,13.37,3.07,1.0,"Jun 01, 2042",5.3,13.57,-,3.04,13.36,3.04,USD,"May 18, 2012","Aug 23, 2012"
AON PLC,Insurance,Fixed Income,"508,992.81",0.02,"508,992.81","414,000.00",00185AAG9,US00185AAG94,BMQXLP8,122.73,United States,-,USD,14.71,3.18,1.0,"Jun 14, 2044",4.6,14.84,-,3.17,14.73,3.17,USD,"May 28, 2014","May 28, 2014"
AT&T INC,Communications,Fixed Income,"508,922.39",0.02,"508,922.39","385,000.00",78387GAQ6,US78387GAQ64,B03N8Y5,130.38,United States,-,USD,9.26,3.22,1.0,"Sep 15, 2034",6.15,9.24,-,3.22,9.24,3.22,USD,"Nov 03, 2004","Nov 03, 2004"
MCDONALDS CORP MTN,Consumer Cyclical,Fixed Income,"508,801.48",0.02,"508,801.48","466,000.00",58013MER1,US58013MER16,B831BL3,108.58,United States,-,USD,14.96,3.07,1.0,"May 01, 2043",3.63,15.01,-,3.07,15.01,3.07,USD,"May 06, 2013","May 06, 2013"
TRAVELERS COMPANIES INC,Insurance,Fixed Income,"508,750.94",0.02,"508,750.94","416,000.00",89417EAP4,US89417EAP43,BJLV1D4,120.96,United States,-,USD,16.98,2.97,1.0,"Mar 04, 2049",4.1,17.21,-,2.96,17.02,2.96,USD,"Mar 04, 2019","Mar 04, 2019"
NESTLE HOLDINGS INC. 144A,Consumer Non-Cyclical,Fixed Income,"508,916.51",0.02,"508,916.51","512,000.00",641062AY0,US641062AY06,-,98.65,United States,-,USD,15.17,2.59,1.0,"Sep 14, 2041",2.5,15.33,-,2.59,15.33,2.59,USD,"Sep 14, 2021","Sep 14, 2021"
NOVARTIS CAPITAL CORP,Consumer Non-Cyclical,Fixed Income,"508,555.59",0.02,"508,555.59","437,000.00",66989HAF5,US66989HAF55,B8DX0S9,115.35,Switzerland,-,USD,14.73,2.73,1.0,"Sep 21, 2042",3.7,14.79,-,2.73,14.79,2.73,USD,"Sep 21, 2012","Sep 21, 2012"
CANADIAN NATURAL RESOURCES LIMITED,Energy,Fixed Income,"508,039.73",0.02,"508,039.73","401,000.00",136385AG6,US136385AG66,B04SDS8,124.26,Canada,-,USD,9.44,3.52,1.0,"Feb 01, 2035",5.85,9.4,-,3.52,9.4,3.52,USD,"Dec 01, 2004","Dec 01, 2004"
CHILDRENS HOSPITAL OF PHILADELPHI,Consumer Non-Cyclical,Fixed Income,"507,988.79",0.02,"507,988.79","515,000.00",16877PAA8,US16877PAA84,-,97.29,United States,-,USD,19.17,2.84,1.0,"Jul 01, 2050",2.7,19.37,-,2.84,19.37,2.84,USD,"Oct 13, 2020","Oct 13, 2020"
ENBRIDGE INC,Energy,Fixed Income,"507,015.65",0.02,"507,015.65","510,000.00",29250NBF1,US29250NBF15,BLR8KZ8,98.14,Canada,-,USD,9.83,2.69,1.0,"Aug 01, 2033",2.5,9.85,-,2.69,9.85,2.69,USD,"Jun 28, 2021","Jun 28, 2021"
FIRST REPUBLIC BANK,Banking,Fixed Income,"506,772.34",0.02,"506,772.34","415,000.00",33616CAB6,US33616CAB63,BD82QG6,120.29,United States,-,USD,15.5,3.18,1.0,"Aug 01, 2046",4.38,15.69,-,3.16,15.49,3.16,USD,"Aug 01, 2016","Aug 01, 2016"
PROGRESS ENERGY FLORIDA,Electric,Fixed Income,"506,585.00",0.02,"506,585.00","450,000.00",341099CR8,US341099CR80,B8HN579,112.08,United States,-,USD,14.47,3.06,1.0,"Nov 15, 2042",3.85,14.64,-,3.05,14.4,3.05,USD,"Nov 20, 2012","Nov 20, 2012"
CSX CORP,Transportation,Fixed Income,"506,427.37",0.02,"506,427.37","475,000.00",126408HR7,US126408HR78,-,105.63,United States,-,USD,17.9,3.05,1.0,"Sep 15, 2049",3.35,18.1,-,3.04,17.89,3.04,USD,"Sep 12, 2019","Sep 12, 2019"
KLA CORP,Technology,Fixed Income,"506,268.15",0.02,"506,268.15","469,000.00",482480AJ9,US482480AJ99,BL1LXW1,106.85,United States,-,USD,18.22,2.94,1.0,"Mar 01, 2050",3.3,18.44,-,2.94,18.23,2.94,USD,"Feb 28, 2020","Feb 28, 2020"
LAM RESEARCH CORPORATION,Technology,Fixed Income,"506,173.97",0.02,"506,173.97","369,000.00",512807AT5,US512807AT55,BFZ92V1,135.74,United States,-,USD,16.42,2.95,1.0,"Mar 15, 2049",4.88,16.66,-,2.93,16.48,2.93,USD,"Mar 04, 2019","Mar 04, 2019"
