,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
CDK GLOBAL INC 144A,Technology,Fixed Income,"129,034.60",0.09,"129,034.60","120,000.00",12508EAJ0,US12508EAJ01,BK94J38,105.98,United States,-,USD,3.75,4.29,1.0,"May 15, 2029",5.25,6.03,-,3.66,2.19,3.66,USD,"May 15, 2019","May 15, 2019"
ZIGGO BOND COMPANY BV 144A,Communications,Fixed Income,"128,882.45",0.09,"128,882.45","125,000.00",98953GAD7,US98953GAD79,-,100.76,Netherlands,-,USD,5.34,5.01,1.0,"Feb 28, 2030",5.13,6.46,-,4.98,5.08,4.98,USD,"Feb 11, 2020","Feb 11, 2020"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"128,874.58",0.09,"128,874.58","130,000.00",81180WBF7,US81180WBF77,BP6HJB3,97.7,Ireland,-,USD,5.42,3.47,1.0,"Jul 15, 2029",3.13,6.55,-,3.47,6.55,3.47,USD,"Dec 08, 2020","Dec 08, 2020"
PENNYMAC FINANCIAL SERVICES INC 144A,Finance Companies,Fixed Income,"128,250.10",0.09,"128,250.10","125,000.00",70932MAC1,US70932MAC10,-,100.92,United States,-,USD,6.33,5.62,1.0,"Sep 15, 2031",5.75,7.26,-,5.6,6.07,5.6,USD,"Sep 16, 2021","Sep 16, 2021"
TASEKO MINES LTD 144A,Basic Industry,Fixed Income,"128,220.53",0.09,"128,220.53","120,000.00",876511AF3,US876511AF32,-,104.21,Canada,-,USD,2.63,5.83,1.0,"Feb 15, 2026",7.0,3.47,-,5.51,2.72,5.51,USD,"Feb 10, 2021","Feb 10, 2021"
TRANSDIGM INC,Capital Goods,Fixed Income,"128,192.80",0.09,"128,192.80","120,000.00",893647BH9,US893647BH98,BJV3SS4,104.62,United States,-,USD,0.2,6.44,1.0,"Mar 15, 2027",7.5,4.2,-,3.06,0.2,3.06,USD,"Sep 15, 2019","Sep 16, 2019"
TRONOX INC 144A,Basic Industry,Fixed Income,"128,202.40",0.09,"128,202.40","120,000.00",897051AB4,US897051AB46,-,105.75,United States,-,USD,0.33,4.62,1.0,"May 01, 2025",6.5,2.96,-,-0.94,0.33,-0.94,USD,"May 01, 2020","May 01, 2020"
ASSURANT INC,Insurance,Fixed Income,"128,162.96",0.09,"128,162.96","110,000.00",04621XAK4,US04621XAK46,-,114.68,United States,-,USD,4.97,4.32,1.0,"Mar 27, 2048",7.0,13.81,-,4.29,5.06,4.29,USD,"Mar 27, 2018","Mar 27, 2018"
TRINSEO MATERIALS OPERATING SCA 144A,Basic Industry,Fixed Income,"128,148.80",0.09,"128,148.80","125,000.00",89668QAE8,US89668QAE89,BD5KBF7,101.67,United States,-,USD,1.37,4.87,1.0,"Sep 01, 2025",5.38,3.27,-,4.16,0.65,4.16,USD,"Aug 29, 2017","Aug 29, 2017"
TRIUMPH GROUP INC 144A,Capital Goods,Fixed Income,"127,989.08",0.09,"127,989.08","125,000.00",896818AQ4,US896818AQ45,-,100.55,United States,-,USD,1.33,6.02,1.0,"Sep 15, 2024",6.25,2.42,-,5.43,0.67,5.43,USD,"Sep 23, 2019","Sep 23, 2019"
XHR LP 144A,Reits,Fixed Income,"127,871.56",0.09,"127,871.56","125,000.00",98372MAC9,US98372MAC91,BMXXLB7,101.89,United States,-,USD,4.73,4.57,1.0,"Jun 01, 2029",4.88,6.16,-,4.4,3.93,4.4,USD,"May 27, 2021","May 27, 2021"
NCR CORPORATION 144A,Technology,Fixed Income,"127,744.40",0.09,"127,744.40","120,000.00",62886EAU2,US62886EAU29,BK20CK1,104.54,United States,-,USD,1.42,4.82,1.0,"Sep 01, 2027",5.75,4.73,-,3.11,0.64,3.11,USD,"Aug 21, 2019","Aug 21, 2019"
LIVE NATION ENTERTAINMEN 144A,Consumer Cyclical,Fixed Income,"127,578.12",0.09,"127,578.12","125,000.00",538034AK5,US538034AK54,BD8NW94,101.25,United States,-,USD,0.01,4.4,1.0,"Nov 01, 2024",4.88,2.6,-,1.63,0.01,1.63,USD,"Oct 31, 2016","Oct 31, 2016"
GRUBHUB HOLDINGS INC 144A,Consumer Cyclical,Fixed Income,"127,497.50",0.09,"127,497.50","125,000.00",40010PAA6,US40010PAA66,BJF8Q14,99.25,United States,-,USD,3.96,5.66,1.0,"Jul 01, 2027",5.5,4.56,-,5.66,4.56,5.66,USD,"Jun 10, 2019","Jun 10, 2019"
STARWOOD PROPERTY TRUST INC,Reits,Fixed Income,"127,464.73",0.09,"127,464.73","120,000.00",85571BAL9,US85571BAL99,BYW54F3,104.82,United States,-,USD,2.64,3.16,1.0,"Mar 15, 2025",4.75,2.93,-,2.88,2.51,2.88,USD,"Mar 15, 2018","Aug 14, 2018"
ENTEGRIS INC 144A,Technology,Fixed Income,"127,253.96",0.09,"127,253.96","125,000.00",29362UAD6,US29362UAD63,-,101.2,United States,-,USD,5.07,3.44,1.0,"May 01, 2029",3.63,6.36,-,3.38,4.79,3.38,USD,"Apr 30, 2021","Apr 30, 2021"
SONIC AUTOMOTIVE INC 144A,Consumer Cyclical,Fixed Income,"127,177.08",0.09,"127,177.08","125,000.00",83545GBE1,US83545GBE17,-,100.88,United States,-,USD,6.62,4.76,1.0,"Nov 15, 2031",4.88,7.71,-,4.74,6.43,4.74,USD,"Oct 27, 2021","Oct 27, 2021"
LIBERTY MUTUAL GROUP INC 144A,Insurance,Fixed Income,"127,014.84",0.09,"127,014.84","125,000.00",53079EBM5,US53079EBM57,-,100.07,United States,-,USD,4.11,4.45,1.0,"Dec 15, 2051",4.13,4.24,-,4.1,4.38,4.1,USD,"Aug 16, 2021","Aug 16, 2021"
APOLLO COMMERCIAL REAL ESTATE FINA 144A,Reits,Fixed Income,"126,993.82",0.09,"126,993.82","130,000.00",03762UAD7,US03762UAD72,-,97.48,United States,-,USD,5.5,5.03,1.0,"Jun 15, 2029",4.63,6.2,-,5.03,6.2,5.03,USD,"Jun 29, 2021","Jun 29, 2021"
TRIMAS CORPORATION 144A,Capital Goods,Fixed Income,"126,746.04",0.09,"126,746.04","125,000.00",896215AH3,US896215AH37,-,100.53,United States,-,USD,4.9,4.04,1.0,"Apr 15, 2029",4.13,6.19,-,3.99,3.87,3.99,USD,"Mar 29, 2021","Mar 29, 2021"
IRON MOUNTAIN INC 144A,Technology,Fixed Income,"126,655.87",0.09,"126,655.87","120,000.00",46284VAG6,US46284VAG68,-,103.24,United States,-,USD,3.53,4.42,1.0,"Jul 15, 2028",5.0,5.43,-,4.01,3.16,4.01,USD,"Jun 22, 2020","Jun 22, 2020"
HECLA MINING COMPANY,Basic Industry,Fixed Income,"126,511.37",0.09,"126,511.37","115,000.00",422704AH9,US422704AH97,-,107.27,United States,-,USD,2.68,5.82,1.0,"Feb 15, 2028",7.25,4.83,-,5.22,1.91,5.22,USD,"Feb 19, 2020","Feb 19, 2020"
HERTZ CORPORATION (THE) 144A,Transportation,Fixed Income,"126,515.23",0.09,"126,515.23","125,000.00",428040DA4,US428040DA42,-,100.72,United States,-,USD,3.9,4.46,1.0,"Dec 01, 2026",4.63,4.34,-,4.42,3.53,4.42,USD,"Nov 23, 2021","Nov 23, 2021"
LIVE NATION ENTERTAINMENT INC 144A,Consumer Cyclical,Fixed Income,"126,447.71",0.09,"126,447.71","125,000.00",538034AX7,US538034AX75,-,99.43,United States,-,USD,3.99,3.86,1.0,"Jan 15, 2028",3.75,5.26,-,3.86,5.26,3.86,USD,"Jan 04, 2021","Jan 04, 2021"
BRITISH TELECOMMUNICATIONS PLC N10 144A,Communications,Fixed Income,"126,443.79",0.09,"126,443.79","125,000.00",11102AAG6,US11102AAG67,-,100.65,United Kingdom,-,USD,7.7,4.91,1.0,"Nov 23, 2081",4.88,7.83,-,4.77,7.6,4.77,USD,"Nov 23, 2021","Nov 23, 2021"
HAT HOLDINGS I LLC 144A,Reits,Fixed Income,"126,398.00",0.09,"126,398.00","120,000.00",418751AB9,US418751AB93,-,104.07,United States,-,USD,0.29,4.65,1.0,"Apr 15, 2025",6.0,2.94,-,2.2,0.29,2.2,USD,"Apr 21, 2020","Apr 21, 2020"
OPTION CARE HEALTH INC 144A,Consumer Non-Cyclical,Fixed Income,"126,223.47",0.09,"126,223.47","125,000.00",68404LAA0,US68404LAA08,-,100.2,United States,-,USD,5.32,4.34,1.0,"Oct 31, 2029",4.38,6.53,-,4.32,4.28,4.32,USD,"Oct 27, 2021","Oct 27, 2021"
NEW GOLD INC 144A,Basic Industry,Fixed Income,"126,133.53",0.09,"126,133.53","115,000.00",644535AH9,US644535AH91,-,106.22,Canada,-,USD,2.77,6.16,1.0,"Jul 15, 2027",7.5,4.38,-,5.54,2.23,5.54,USD,"Jun 24, 2020","Jun 24, 2020"
PLANTRONICS INC 144A,Technology,Fixed Income,"126,001.63",0.09,"126,001.63","130,000.00",727493AC2,US727493AC24,-,95.34,United States,-,USD,5.47,5.55,1.0,"Mar 01, 2029",4.75,5.87,-,5.55,5.87,5.55,USD,"Mar 04, 2021","Mar 04, 2021"
IHS MARKIT LTD 144A,Technology,Fixed Income,"125,972.41",0.09,"125,972.41","115,000.00",44962LAC1,US44962LAC19,BD2BVJ7,108.22,United States,-,USD,3.65,1.94,1.0,"Mar 01, 2026",4.0,3.81,-,1.82,3.6,1.82,USD,"Dec 01, 2017","Dec 01, 2017"
BRITISH TELECOMMUNICATIONS PLC NC5 144A,Communications,Fixed Income,"125,892.24",0.09,"125,892.24","125,000.00",11102AAF8,US11102AAF84,-,100.28,United Kingdom,-,USD,4.43,4.59,1.0,"Nov 23, 2081",4.25,4.36,-,4.18,4.36,4.18,USD,"Nov 23, 2021","Nov 23, 2021"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"125,707.00",0.09,"125,707.00","120,000.00",81180WAH4,US81180WAH43,BPY06H9,104.36,United States,-,USD,1.38,1.62,1.0,"Jun 01, 2023",4.75,1.37,-,1.62,1.37,1.62,USD,"May 22, 2013","May 22, 2013"
NEWELL BRANDS INC,Consumer Non-Cyclical,Fixed Income,"125,622.84",0.09,"125,622.84","115,000.00",651229BB1,US651229BB19,-,108.83,United States,-,USD,3.11,2.18,1.0,"Jun 01, 2025",4.88,3.15,-,2.12,3.08,2.12,USD,"May 26, 2020","May 26, 2020"
SEALED AIR CORPORATION 144A,Capital Goods,Fixed Income,"125,581.60",0.09,"125,581.60","120,000.00",81211KAY6,US81211KAY64,BJLPZ89,104.32,United States,-,USD,5.18,3.19,1.0,"Dec 01, 2027",4.0,5.24,-,3.16,5.04,3.16,USD,"Nov 26, 2019","Nov 26, 2019"
ACADIA HEALTHCARE CO INC 144A,Consumer Non-Cyclical,Fixed Income,"125,463.07",0.09,"125,463.07","120,000.00",00404AAP4,US00404AAP49,BMCM9K0,103.5,United States,-,USD,3.86,4.43,1.0,"Apr 15, 2029",5.0,6.03,-,3.99,3.4,3.99,USD,"Oct 14, 2020","Oct 14, 2020"
FORTERRA FINANCE LLC 144A,Capital Goods,Fixed Income,"125,422.71",0.09,"125,422.71","115,000.00",34962WAA2,US34962WAA27,-,106.07,United States,-,USD,0.52,4.62,1.0,"Jul 15, 2025",6.5,3.07,-,1.2,0.52,1.2,USD,"Jul 16, 2020","Jul 16, 2020"
WMG ACQUISITION CORP 144A,Communications,Fixed Income,"125,310.52",0.09,"125,310.52","125,000.00",92933BAT1,US92933BAT17,-,99.86,United States,-,USD,5.48,3.77,1.0,"Dec 01, 2029",3.75,6.77,-,3.77,6.77,3.77,USD,"Nov 24, 2021","Nov 24, 2021"
THOR INDUSTRIES INC 144A,Consumer Non-Cyclical,Fixed Income,"125,201.94",0.09,"125,201.94","125,000.00",885160AA9,US885160AA99,-,99.31,United States,-,USD,5.45,4.1,1.0,"Oct 15, 2029",4.0,6.57,-,4.1,6.57,4.1,USD,"Oct 14, 2021","Oct 14, 2021"
FIRSTENERGY TRANSMISSION LLC 144A,Electric,Fixed Income,"125,171.56",0.09,"125,171.56","115,000.00",33767BAB5,US33767BAB53,BMNDKF4,106.84,United States,-,USD,2.63,2.02,1.0,"Jan 15, 2025",4.35,2.8,-,1.82,2.59,1.82,USD,"May 19, 2014","May 19, 2014"
SUNNOVA ENERGY CORP 144A,Electric,Fixed Income,"125,040.97",0.09,"125,040.97","120,000.00",86745GAF0,US86745GAF00,-,102.01,United States,-,USD,3.49,5.38,1.0,"Sep 01, 2026",5.88,3.96,-,5.26,3.2,5.26,USD,"Aug 17, 2021","Aug 17, 2021"
SLM CORP,Finance Companies,Fixed Income,"124,971.04",0.09,"124,971.04","125,000.00",78442PGE0,US78442PGE07,-,99.46,United States,-,USD,4.45,3.25,1.0,"Nov 02, 2026",3.13,4.43,-,3.25,4.43,3.25,USD,"Nov 01, 2021","Nov 01, 2021"
CONSTELLIUM SE (FRANCE) 144A,Basic Industry,Fixed Income,"124,027.81",0.09,"124,027.81","125,000.00",21039CAB0,US21039CAB00,-,98.44,United States,-,USD,5.3,4.0,1.0,"Apr 15, 2029",3.75,6.26,-,4.0,6.26,4.0,USD,"Feb 24, 2021","Feb 24, 2021"
OPEN TEXT HOLDINGS INC 144A,Technology,Fixed Income,"123,982.45",0.09,"123,982.45","122,000.00",683720AC0,US683720AC08,-,101.2,Canada,-,USD,6.72,3.98,1.0,"Dec 01, 2031",4.13,8.06,-,3.92,5.95,3.92,USD,"Nov 24, 2021","Nov 24, 2021"
ACADIA HEALTHCARE CO INC 144A,Consumer Non-Cyclical,Fixed Income,"123,966.55",0.09,"123,966.55","115,000.00",00404AAN9,US00404AAN90,BMTQM51,105.05,United States,-,USD,2.9,4.59,1.0,"Jul 01, 2028",5.5,5.32,-,3.8,1.4,3.8,USD,"Jun 24, 2020","Jun 24, 2020"
TENNECO INC,Consumer Cyclical,Fixed Income,"123,665.69",0.09,"123,665.69","125,000.00",880349AR6,US880349AR61,BZBZ0C0,96.63,United States,-,USD,3.76,5.86,1.0,"Jul 15, 2026",5.0,3.9,-,5.86,3.9,5.86,USD,"Jun 13, 2016","Jun 13, 2016"
ACI WORLDWIDE INC 144A,Technology,Fixed Income,"122,721.36",0.09,"122,721.36","115,000.00",004498AB7,US004498AB73,BFXKZS4,104.54,United States,-,USD,0.46,4.65,1.0,"Aug 15, 2026",5.75,3.96,-,2.63,0.08,2.63,USD,"Aug 21, 2018","Aug 21, 2018"
CIT GROUP INC,Banking,Fixed Income,"122,709.56",0.09,"122,709.56","100,000.00",125581GX0,US125581GX07,BZ00V01,120.8,United States,-,USD,5.22,2.48,1.0,"Mar 09, 2028",6.13,5.2,-,2.48,5.2,2.48,USD,"Mar 09, 2018","Mar 09, 2018"
ARCOSA INC 144A,Industrial Other,Fixed Income,"122,607.13",0.09,"122,607.13","120,000.00",039653AA8,US039653AA89,-,101.25,United States,-,USD,4.77,4.17,1.0,"Apr 15, 2029",4.38,6.14,-,4.11,4.65,4.11,USD,"Apr 06, 2021","Apr 06, 2021"
COMPASS MINERALS INTERNATIONAL INC 144A,Basic Industry,Fixed Income,"122,579.07",0.08,"122,579.07","115,000.00",20451NAG6,US20451NAG60,BL2G381,106.03,United States,-,USD,1.48,5.54,1.0,"Dec 01, 2027",6.75,4.85,-,3.65,0.88,3.65,USD,"Nov 26, 2019","Nov 26, 2019"
SENSATA TECHNOLOGIES BV 144A,Technology,Fixed Income,"122,284.82",0.08,"122,284.82","115,000.00",81725WAG8,US81725WAG87,B8C2W58,105.32,Netherlands,-,USD,1.72,1.84,1.0,"Oct 15, 2023",4.88,1.71,-,1.84,1.71,1.84,USD,"Apr 17, 2013","Apr 17, 2013"
EDGEWELL PERSONAL CARE CO 144A,Consumer Non-Cyclical,Fixed Income,"122,258.70",0.08,"122,258.70","120,000.00",28035QAB8,US28035QAB86,-,100.85,United States,-,USD,4.78,3.99,1.0,"Apr 01, 2029",4.13,6.16,-,3.9,3.83,3.9,USD,"Mar 08, 2021","Mar 08, 2021"
FIRSTENERGY TRANSMISSION LLC 144A,Electric,Fixed Income,"122,026.60",0.08,"122,026.60","95,000.00",33767BAA7,US33767BAA70,BMNDL73,125.94,United States,-,USD,13.61,3.74,1.0,"Jul 15, 2044",5.45,13.77,-,3.72,13.59,3.72,USD,"May 19, 2014","May 19, 2014"
PROVIDENCE SERVICE CORP 144A,Consumer Non-Cyclical,Fixed Income,"121,947.95",0.08,"121,947.95","115,000.00",743815AE2,US743815AE20,-,105.29,United States,-,USD,1.85,4.37,1.0,"Nov 15, 2025",5.88,3.43,-,3.69,1.76,3.69,USD,"Nov 04, 2020","Nov 04, 2020"
TREEHOUSE FOODS INC,Consumer Non-Cyclical,Fixed Income,"121,686.67",0.08,"121,686.67","125,000.00",89469AAD6,US89469AAD63,BMZMQP1,96.02,United States,-,USD,5.2,4.7,1.0,"Sep 01, 2028",4.0,5.69,-,4.7,5.69,4.7,USD,"Sep 09, 2020","Sep 09, 2020"
TAYLOR MORRISON COMMUNITIES INC 144A,Consumer Cyclical,Fixed Income,"121,332.25",0.08,"121,332.25","106,000.00",87724RAB8,US87724RAB87,BJX75H2,111.81,United States,-,USD,4.95,3.56,1.0,"Jan 15, 2028",5.75,5.03,-,3.48,4.85,3.48,USD,"Aug 01, 2019","Aug 01, 2019"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"121,134.20",0.08,"121,134.20","110,000.00",81180WAL5,US81180WAL54,BYQF211,107.75,United States,-,USD,2.77,2.07,1.0,"Jan 01, 2025",4.75,2.75,-,2.07,2.75,2.07,USD,"May 28, 2014","May 28, 2014"
MARRIOTT OWNERSHIP RESORTS INC 144A,Consumer Cyclical,Fixed Income,"121,131.60",0.08,"121,131.60","120,000.00",57164PAH9,US57164PAH91,-,100.74,United States,-,USD,5.01,4.38,1.0,"Jun 15, 2029",4.5,6.27,-,4.31,3.99,4.31,USD,"Jun 21, 2021","Jun 21, 2021"
RACKSPACE TECHNOLOGY GLOBAL INC 144A,Technology,Fixed Income,"120,960.28",0.08,"120,960.28","125,000.00",750098AB1,US750098AB18,-,95.45,United States,-,USD,5.09,4.35,1.0,"Feb 15, 2028",3.5,5.36,-,4.35,5.36,4.35,USD,"Feb 09, 2021","Feb 09, 2021"
WILLIAM CARTER COMPANY (THE) 144A,Consumer Cyclical,Fixed Income,"120,737.09",0.08,"120,737.09","115,000.00",96926JAE7,US96926JAE73,-,104.29,United States,-,USD,0.37,4.12,1.0,"May 15, 2025",5.5,3.05,-,1.31,0.37,1.31,USD,"May 11, 2020","May 11, 2020"
TRIPADVISOR INC 144A,Consumer Cyclical,Fixed Income,"120,044.96",0.08,"120,044.96","110,000.00",896945AA0,US896945AA07,-,105.9,United States,-,USD,0.53,5.15,1.0,"Jul 15, 2025",7.0,3.03,-,2.4,0.52,2.4,USD,"Jul 09, 2020","Jul 09, 2020"
NOKIA OYJ,Technology,Fixed Income,"119,749.19",0.08,"119,749.19","110,000.00",654902AE5,US654902AE56,BF4SNT4,108.63,Finland,-,USD,4.89,2.66,1.0,"Jun 12, 2027",4.38,4.86,-,2.66,4.86,2.66,USD,"Jun 12, 2017","Jun 12, 2017"
MGM GROWTH PROPERTIES OPERATING PA,Consumer Cyclical,Fixed Income,"119,412.70",0.08,"119,412.70","110,000.00",55303XAB1,US55303XAB10,BD89B06,107.06,United States,-,USD,4.05,2.87,1.0,"Sep 01, 2026",4.5,4.16,-,2.79,3.96,2.79,USD,"Mar 01, 2017","Mar 03, 2017"
OWENS & MINOR INC 144A,Consumer Non-Cyclical,Fixed Income,"119,358.50",0.08,"119,358.50","115,000.00",690732AF9,US690732AF97,-,102.67,United States,-,USD,4.39,4.07,1.0,"Mar 31, 2029",4.5,6.09,-,3.81,3.81,3.81,USD,"Mar 10, 2021","Mar 10, 2021"
TOPBUILD CORP 144A,Industrial Other,Fixed Income,"118,985.09",0.08,"118,985.09","115,000.00",89055FAC7,US89055FAC77,-,102.58,United States,-,USD,6.57,3.81,1.0,"Feb 15, 2032",4.13,8.19,-,3.73,6.59,3.73,USD,"Oct 14, 2021","Oct 14, 2021"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"118,673.85",0.08,"118,673.85","120,000.00",81180WBE0,US81180WBE03,BNZHQF3,97.35,Ireland,-,USD,6.76,3.71,1.0,"Jul 15, 2031",3.38,7.94,-,3.71,7.94,3.71,USD,"Dec 08, 2020","Dec 08, 2020"
JELD-WEN INC 144A,Capital Goods,Fixed Income,"118,319.67",0.08,"118,319.67","115,000.00",475795AD2,US475795AD24,BF4PGP2,102.67,United States,-,USD,3.06,4.36,1.0,"Dec 15, 2027",4.88,5.13,-,4.14,3.57,4.14,USD,"Dec 14, 2017","Dec 14, 2017"
SWITCH LTD 144A,Technology,Fixed Income,"118,214.63",0.08,"118,214.63","115,000.00",87105NAC4,US87105NAC48,-,102.61,United States,-,USD,4.6,3.72,1.0,"Jun 15, 2029",4.13,6.38,-,3.49,4.04,3.49,USD,"Jun 07, 2021","Jun 07, 2021"
KAISER ALUMINUM CORPORATION 144A,Basic Industry,Fixed Income,"118,088.52",0.08,"118,088.52","115,000.00",483007AJ9,US483007AJ91,BKQQ380,101.14,United States,-,USD,3.82,4.41,1.0,"Mar 01, 2028",4.63,5.24,-,4.23,2.88,4.23,USD,"Nov 26, 2019","Nov 26, 2019"
SEALED AIR CORPORATION 144A,Capital Goods,Fixed Income,"117,862.97",0.08,"117,862.97","105,000.00",81211KAX8,US81211KAX81,BZ1FSZ9,110.63,United States,-,USD,3.16,2.48,1.0,"Sep 15, 2025",5.5,3.33,-,2.28,3.12,2.28,USD,"Jun 16, 2015","Jun 16, 2015"
DIEBOLD INC,Technology,Fixed Income,"117,341.91",0.08,"117,341.91","115,000.00",253651AC7,US253651AC78,BZ006M8,100.24,United States,-,USD,0.74,8.37,1.0,"Apr 15, 2024",8.5,2.01,-,7.51,0.28,7.51,USD,"Oct 15, 2016","Nov 17, 2016"
OI EUROPEAN GROUP BV 144A,Capital Goods,Fixed Income,"117,232.79",0.08,"117,232.79","115,000.00",67777LAD5,US67777LAD55,-,101.36,United States,-,USD,5.22,4.55,1.0,"Feb 15, 2030",4.75,6.65,-,4.44,4.29,4.44,USD,"Nov 16, 2021","Nov 16, 2021"
TWILIO INC,Technology,Fixed Income,"117,177.37",0.08,"117,177.37","115,000.00",90138FAC6,US90138FAC68,-,100.83,United States,-,USD,4.74,3.49,1.0,"Mar 15, 2029",3.63,6.23,-,3.41,3.83,3.41,USD,"Mar 09, 2021","Mar 09, 2021"
US FOODS INC 144A,Consumer Non-Cyclical,Fixed Income,"117,128.70",0.08,"117,128.70","115,000.00",90290MAE1,US90290MAE12,BMYT9D2,101.35,United States,-,USD,5.55,4.43,1.0,"Jun 01, 2030",4.63,6.89,-,4.34,4.73,4.34,USD,"Nov 22, 2021","Nov 22, 2021"
ISTAR INC,Reits,Fixed Income,"116,510.66",0.08,"116,510.66","110,000.00",45031UCJ8,US45031UCJ88,-,103.84,United States,-,USD,1.63,4.47,1.0,"Feb 15, 2026",5.5,3.6,-,3.27,1.52,3.27,USD,"Sep 01, 2020","Sep 01, 2020"
CENTURY COMMUNITIES INC,Consumer Cyclical,Fixed Income,"116,461.95",0.08,"116,461.95","110,000.00",156504AL6,US156504AL63,-,105.31,United States,-,USD,0.42,5.6,1.0,"Jun 01, 2027",6.75,4.5,-,1.98,0.41,1.98,USD,"Dec 01, 2019","Feb 14, 2020"
RR DONNELLEY & SONS CO 144A,Communications,Fixed Income,"116,246.38",0.08,"116,246.38","105,000.00",257867BF7,US257867BF75,-,109.69,United States,-,USD,2.06,3.9,1.0,"Nov 01, 2026",6.13,4.17,-,2.34,1.73,2.34,USD,"Apr 28, 2021","Apr 28, 2021"
CHARLES RIVER LABORATORIES INTERNA 144A,Consumer Non-Cyclical,Fixed Income,"115,388.17",0.08,"115,388.17","110,000.00",159864AE7,US159864AE78,BK59DC4,104.19,United States,-,USD,2.71,3.51,1.0,"May 01, 2028",4.25,5.5,-,2.61,1.29,2.61,USD,"Oct 23, 2019","Oct 23, 2019"
SIX FLAGS ENTERTAINMENT CORP 144A,Consumer Cyclical,Fixed Income,"115,191.02",0.08,"115,191.02","110,000.00",83001AAC6,US83001AAC62,BDRT6C4,103.56,United States,-,USD,0.64,4.73,1.0,"Apr 15, 2027",5.5,4.52,-,2.58,0.29,2.58,USD,"Apr 13, 2017","Apr 13, 2017"
INTERTAPE POLYMER GROUP INC. 144A,Capital Goods,Fixed Income,"115,185.66",0.08,"115,185.66","115,000.00",460919AB9,US460919AB94,-,99.97,Canada,-,USD,4.5,4.38,1.0,"Jun 15, 2029",4.38,6.29,-,4.38,6.29,4.38,USD,"Jun 08, 2021","Jun 08, 2021"
UNISYS CORPORATION 144A,Technology,Fixed Income,"114,963.28",0.08,"114,963.28","105,000.00",909214BV9,US909214BV97,-,108.34,United States,-,USD,2.55,5.2,1.0,"Nov 01, 2027",6.88,4.77,-,3.94,1.71,3.94,USD,"Oct 29, 2020","Oct 29, 2020"
VODAFONE GROUP PLC,Communications,Fixed Income,"114,958.31",0.08,"114,958.31","115,000.00",92857WBV1,US92857WBV19,-,98.09,United Kingdom,-,USD,4.05,4.1,1.0,"Jun 04, 2081",3.25,3.99,-,3.72,4.21,3.72,USD,"Jun 04, 2021","Jun 04, 2021"
TRINITY INDUSTRIES INC,Capital Goods,Fixed Income,"113,675.20",0.08,"113,675.20","107,000.00",896522AH2,US896522AH27,BQZF0N4,105.1,United States,-,USD,2.4,2.61,1.0,"Oct 01, 2024",4.55,2.56,-,2.43,2.34,2.43,USD,"Sep 25, 2014","Sep 25, 2014"
ATKORE INC 144A,Capital Goods,Fixed Income,"113,328.78",0.08,"113,328.78","110,000.00",047649AA6,US047649AA63,-,102.67,United States,-,USD,6.16,3.91,1.0,"Jun 01, 2031",4.25,7.71,-,3.83,6.31,3.83,USD,"May 26, 2021","May 26, 2021"
SCRIPPS ESCROW II INC 144A,Communications,Fixed Income,"112,531.99",0.08,"112,531.99","110,000.00",81105DAA3,US81105DAA37,-,100.52,United States,-,USD,4.65,3.79,1.0,"Jan 15, 2029",3.88,6.01,-,3.74,3.64,3.74,USD,"Dec 30, 2020","Dec 30, 2020"
SINCLAIR TELEVISION GROUP INC 144A,Communications,Fixed Income,"112,428.98",0.08,"112,428.98","115,000.00",829259AY6,US829259AY67,-,97.31,United States,-,USD,5.83,5.92,1.0,"Mar 01, 2030",5.5,6.44,-,5.92,6.44,5.92,USD,"Nov 27, 2019","Nov 27, 2019"
DAVE & BUSTERS INC 144A,Consumer Cyclical,Fixed Income,"112,440.47",0.08,"112,440.47","104,000.00",23833NAH7,US23833NAH70,-,106.85,United States,-,USD,1.06,5.61,1.0,"Nov 01, 2025",7.63,3.28,-,3.74,0.8,3.74,USD,"Oct 27, 2020","Oct 27, 2020"
180 MEDICAL INC 144A,Consumer Non-Cyclical,Fixed Income,"112,379.48",0.08,"112,379.48","110,000.00",682357AA6,US682357AA69,-,101.26,United Kingdom,-,USD,5.1,3.69,1.0,"Oct 15, 2029",3.88,6.62,-,3.58,4.29,3.58,USD,"Oct 07, 2021","Oct 07, 2021"
WABASH NATIONAL CORPORATION 144A,Consumer Cyclical,Fixed Income,"112,134.55",0.08,"112,134.55","110,000.00",929566AL1,US929566AL19,-,100.88,United States,-,USD,4.88,4.35,1.0,"Oct 15, 2028",4.5,5.74,-,4.29,4.23,4.29,USD,"Oct 06, 2021","Oct 06, 2021"
STARWOOD PROPERTY TRUST INC 144A,Reits,Fixed Income,"112,070.86",0.08,"112,070.86","110,000.00",85571BAU9,US85571BAU98,-,100.2,United States,-,USD,3.98,3.58,1.0,"Jul 15, 2026",3.63,4.08,-,3.57,3.67,3.57,USD,"Jul 14, 2021","Jul 14, 2021"
